Country Name,Country Code,Indicator Name,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,AFG,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3092,3092,3092,3092,3092,3092,3092,3092,4462,4462,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,10068,10068,10068,10068,10068,10068,10068,10068,10068,NA,NA,NA,NA,8317,NA,1472,5936,5936,5936,5936,5936,NA,NA,8430,8430,8430,8456,8456,8456,8456,8456,8456,8456,8456,8456,8456,8456,4384,4384,4384,10227,10227,10227,10227,10227,10227,10227,10227,10227,10227,10227,10227,10227,10227,10227
Albania,ALB,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7322,7322,7322,7322,7322,7322,NA,NA,NA,NA,NA,6167,6167,6167,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,1581,1581,1581,1581,NA,NA,NA,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,7518,7518,7518,7518,7518,7518,7518,7518,7518,7518,7518,7518,7518,7518,7518,3954,3954,3954,3954,3954,3954,3954,13747,13747,13747,13747,13747,13747,13747,13747,13747,13747,13826,13826,13826,13826,13826,13826,13826,13826,13826,13826,13826
Algeria,DZA,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3588,3588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9602,9602,9602,9602,9602,9602,9602,9602,9602,9602,9602,9602,9602,7409,7409,7409,7409,7409,7409,7409,10013,10013,10013,10013,10013,10013,10038,10038,10038,10038,10038,10038,10038,10038,10038,10038,10038,10038,10038,10038,10038,10038,10038
Andorra,AND,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740,8740
Angola,AGO,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,12181,27181,27181,27181,27181,27181,27181,27181,27181,27181
Antigua and Barbuda,ATG,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464,38464
Argentina,ARG,Constitution Length (words),7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,9703,9703,9703,9703,9703,9703,9703,7365,7574,7574,7574,7574,7574,7574,7574,7574,7574,NA,NA,NA,NA,NA,NA,7600,7600,7600,7600,1345,1345,1345,1345,1345,1345,1345,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514,12514
Armenia,ARM,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8843,8843,8843,8843,8843,8843,8843,8843,8843,8843,13786,13786,13786,13786,13786,13786,13786,13786,13786,13786,13786,13786,13786,13786
Australia,AUS,Constitution Length (words),NA,12751,12751,12751,12751,12751,12751,12746,12746,12746,12739,12739,12739,12739,12739,12739,12739,12739,12739,12739,12739,12739,12739,12739,12739,12739,12739,12739,12739,12972,12972,12972,12972,12972,12972,12972,12972,12972,12972,12972,12972,12972,14624,14624,14624,14624,14659,14659,14659,14659,14659,14659,14659,14659,14659,14659,14659,14659,14659,14659,14659,14659,14659,14659,14659,14659,14659,14626,14626,14626,14626,14626,14626,14626,14626,14626,14626,14508,14508,14508,14508,14508,14508,14508,14508,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318,17318
Austria,AUT,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16905,16905,16905,16905,16905,16905,16905,16905,16905,16905,16905,16905,16905,16905,24148,24148,24148,24148,24148,24148,24148,24148,24148,24148,24148,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366,41366
Azerbaijan,AZE,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2472,2472,2472,2472,15400,15400,15400,15400,15400,15400,15400,15616,15616,15616,15616,15616,15616,15616,17354,17354,17354,17354,17354,17354,17354,17354,17354,17354
Bahrain,BHR,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,8663,10806,10806,10806,10806,10806,10806,10806,10806,10806,10806,10806,10806,10806,10806,10806,10806,10806
Bangladesh,BGD,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21389,21389,21389,21389,21389,21389,21389,21389,21389,21389,NA,NA,NA,NA,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643,27643
Barbados,BRB,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144,34144
Belarus,BLR,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9527,9527,13288,13288,13288,13288,13288,13288,13288,13288,13278,13278,13278,13278,13278,13278,13278,13278,13278,13278,13278,13278,13278,13278,13278
Belgium,BEL,Constitution Length (words),6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,6404,14000,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119,16119
Belize,BLZ,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629,39629
